,ticker,1Y,5Y
0,NEE,63.10171,44.38144
0,NEM,49.76587,51.65964
0,NFLX,89.77239,177.67308
0,NI,41.5316,24.52763
0,NKE,-20.74701,-15.31906
0,NOC,10.20599,51.16014
0,NOW,69.62947,281.21212
0,NRG,112.72146,114.25031
0,NSC,26.03352,33.28321
0,NTAP,71.03862,129.64999
0,NTRS,49.20536,-1.12545
0,NUE,11.11823,201.42885
0,NVDA,234.36482,2832.85714
0,NVR,75.3762,152.76623
0,NWS,27.59251,99.5
0,NWSA,24.78673,92.89377
0,NXPI,26.21333,109.26532
0,O,30.15711,-17.60527
0,ODFL,2.17717,230.30354
0,OKE,45.07042,39.1092
0,OMC,37.08653,37.45025
0,ON,-19.6986,244.66119
0,ORCL,67.62493,215.1823
0,ORLY,38.73354,202.8822
0,OTIS,37.19932,133.19337
0,OXY,-17.51035,26.94757
0,PANW,53.71897,434.77954
0,PARA,-7.86416,-71.63686
0,PAYC,-34.86513,-18.54584
0,PAYX,20.97231,66.61549
0,PCAR,34.72222,125.2106
0,PCG,29.28844,153.10945
0,PEG,52.41717,44.57271
0,PEP,9.32659,28.57038
0,PFE,-6.19326,-16.29051
0,PFG,32.91327,57.75119
0,PG,14.43807,42.37487
0,PGR,63.36982,258.2
0,PH,74.24156,248.56862
0,PHM,104.42114,277.74286
0,PKG,51.58434,101.9541
0,PLD,16.82373,29.96027
0,PLTR,163.58025,349.47368
0,PM,30.8403,45.42787
0,PNC,69.20973,27.56133
0,PNR,57.85588,152.20513
0,PNW,19.69344,-6.94755
0,PODD,60.87075,53.67819
0,POOL,11.47409,70.55302
0,PPG,4.14747,3.3205
0,PPL,38.21791,0.24502297
0,PRU,40.56868,38.17121
0,PSA,33.84826,36.12125
0,PSX,16.16099,21.36784
0,PTC,35.78986,179.50696
0,PWR,91.96229,683.52245
0,PYPL,50.7203,-20.5836
0,QCOM,55.54022,113.99088
0,QRVO,15.62394,29.77778
0,RCL,145.95226,78.37958
0,REG,23.15101,3.02158
0,REGN,21.74121,225.01091
0,RF,66.52572,47.04418
0,RJF,45.95054,145.14174
0,RL,75.37481,110.98787
0,RMD,63.71138,83.91817
0,ROK,1.15795,57.28936
0,ROL,50.25626,104.17862
0,ROP,16.52924,65.20784
0,ROST,28.73875,32.71761
0,RSG,41.33084,132.7366
0,RTX,72.15917,54.28922
0,RVTY,16.59171,41.79548
0,SBAC,26.01967,-0.96001302
0,SBUX,2.38854,13.00527
0,SCHW,43.66511,73.27628
0,SHW,59.96899,108.07216
0,SJM,7.06124,10.76937
0,SLB,-27.88919,26.31736
0,SMCI,87.52452,2326.39594
0,SNA,30.10976,104.562
0,SNPS,8.07362,269.90781
0,SO,41.72398,50.56016
0,SOLV,-8.625,-8.625
0,SPG,65.58312,13.73637
0,SPGI,49.39749,108.09403
0,SRE,24.64045,15.96122
0,STE,4.4699,59.63714
0,STLD,35.13924,366.28232
0,STT,40.37354,37.9052
0,STX,72.27586,102.61355
0,STZ,3.17002,22.93658
0,SW,-9.40767,-9.40767
0,SWK,35.3137,-29.92042
0,SWKS,7.01968,7.6983
0,SYF,95.00349,59.18426
0,SYK,39.3368,70.75836
0,SYY,14.93846,-5.97785
0,T,44.88294,-24.94802
0,TAP,-3.29747,-2.51924
0,TDG,67.79915,165.71762
0,TDY,16.07064,38.82832
0,TECH,10.96042,38.36775
0,TEL,27.29858,57.54506
0,TER,38.50638,109.67366
0,TFC,56.97373,-20.6174
0,TFX,25.96974,-28.44214
0,TGT,40.48594,32.74982
0,TJX,30.94079,93.05625
0,TMO,28.92098,109.97743
0,TMUS,61.73225,171.37288
0,TPR,59.53405,69.62652
0,TRGP,87.16435,310.63992
0,TRMB,25.53191,53.18881
0,TROW,19.41971,2.76726
0,TRV,63.13839,83.00331
0,TSCO,48.66024,218.69321
