,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Ticker,Industry,roce_rank,ticker,coef,r_squared,std,coef_rank,std_rank,average_score,final_score
35,569,ALSN,Return on Capital Employed,0.1136,0.1044,0.1141,0.1663,0.243,0.2237,0.1291,0.1721,0.1821,0.2091,,ALSN,Industrials,141.0,ALSN,0.009469696970145764,0.3361699233130677,0.04691196542461209,129.0,440.0,59.75,76.5
36,585,APD,Return on Capital Employed,0.1001,0.1303,0.0799,0.2117,0.1278,0.1388,0.1088,0.1124,0.1216,0.1078,,APD,Materials,372.0,APD,0.0,0.004383749550480154,0.033337990341350814,387.5,318.0,124.14166666666667,315.0
37,601,ARE,Return on Capital Employed,0.0254,0.0306,0.0059,0.0284,0.0426,0.0349,0.0478,0.0289,0.0216,0.0048,,ARE,Real Estate,811.0,ARE,0.0,0.01206135472558656,0.013140125570176261,387.5,96.0,156.94166666666666,497.0
38,617,GOOGL,Return on Capital Employed,0.1537,0.1542,0.161,0.1577,0.1768,0.1722,0.1835,0.3087,0.2422,0.2683,,GOOGL,Communication Services,78.0,GOOGL,0.014901212121914982,0.669809386258166,0.05229654003851497,82.0,491.0,47.383333333333326,17.0
39,633,LNT,Return on Capital Employed,0.0569,0.058,0.0522,0.0623,0.0593,0.0621,0.0513,0.0532,0.058,0.0559,,LNT,Utilities,600.5,LNT,0.0,0.02674668444839634,0.0036402747149082036,387.5,4.0,131.29166666666669,360.0
40,649,AAL,Return on Capital Employed,0.1375,0.1579,0.1414,0.1105,0.0692,0.0804,-0.225,-0.0158,0.0497,0.0797,,AAL,Industrials,490.0,AAL,-0.018538787879666892,0.2515640189861086,0.1061656559344876,747.0,741.0,223.0,757.0
41,665,AEE,Return on Capital Employed,0.0638,0.0626,0.0643,0.0648,0.0592,0.0526,0.0484,0.0465,0.0503,0.0507,,AEE,Utilities,631.0,AEE,-0.0021139393940373488,0.7679110642517961,0.006928896015960984,557.0,30.0,166.71666666666667,539.0
42,681,AEP,Return on Capital Employed,0.067,0.0704,0.0262,0.0669,0.0503,0.0454,0.0481,0.0505,0.047,0.0054,,AEP,Utilities,810.0,AEP,-0.003987878788065659,0.3718332460096657,0.018784291309495816,592.0,161.0,197.58333333333334,670.0
43,697,AFG,Return on Capital Employed,0.1254,0.1107,0.1363,0.1217,0.1138,0.0174,0.013,0.051,0.0435,0.0775,,AFG,Financials,499.0,AFG,-0.010609090909596051,0.4729995917331198,0.04430724658563202,674.0,421.0,194.51666666666668,659.0
44,713,AMC,Return on Capital Employed,0.0529,0.0613,0.0374,-0.007,0.0571,0.0144,-0.4797,-0.091,-0.0796,0.0024,,AMC,Communication Services,815.0,AMC,-0.02147636363737674,0.16017670593964828,0.15413030720789472,758.0,825.0,261.7166666666667,797.0
45,729,AMCR,Return on Capital Employed,0.143,0.2185,0.1362,0.1993,0.2499,0.0722,0.0913,0.1216,0.1183,0.1396,0.1012,AMCR,Materials,266.0,AMCR,-0.007919393939767297,0.17996914136639275,0.05361914676680337,646.0,502.0,170.13333333333335,550.0
46,745,AMD,Return on Capital Employed,-0.171,-0.3787,-0.2324,-0.0073,0.1345,0.127,0.5725,0.4535,0.025,0.0213,,AMD,Information Technology,766.0,AMD,0.058896969699753554,0.3737026383162373,0.2767303821411736,13.0,882.0,123.08333333333333,313.0
47,761,AME,Return on Capital Employed,0.1617,0.1593,0.1275,0.1344,0.1445,0.1376,0.1259,0.1261,0.1391,0.1391,,AME,Industrials,269.0,AME,-0.002328484848597055,0.30883851495367054,0.01203468321145181,561.0,81.0,133.79999999999998,378.0
48,777,AMED,Return on Capital Employed,0.0565,0.0192,0.1201,0.1428,0.3347,0.1965,0.1983,0.1947,0.1131,0.0454,,AMED,Health Care,653.0,AMED,0.0,0.03521631270443448,0.08893113121961285,387.5,694.0,171.04166666666666,554.0
49,793,AMG,Return on Capital Employed,0.1142,0.1221,0.1,0.1075,0.0676,0.0547,0.0837,0.1549,0.1998,0.1165,,AMG,Financials,344.0,AMG,0.0,0.10860776989397714,0.039869838223900535,387.5,385.0,124.69166666666668,319.0
50,809,AMGN,Return on Capital Employed,0.1074,0.1442,0.1569,0.1537,0.2066,0.2225,0.1832,0.1612,0.177,0.1362,,AMGN,Health Care,279.0,AMGN,0.0,0.11117213981224294,0.03209284811293632,387.5,298.0,113.84166666666668,267.0
51,825,AMH,Return on Capital Employed,-0.0022,0.0062,0.0178,0.0229,0.0276,0.032,0.0293,0.0317,0.0385,0.0516,,AMH,Real Estate,626.5,AMH,0.004869090909320249,0.9073791444753291,0.01468183912185391,170.0,117.0,99.66666666666667,189.0
52,841,AMP,Return on Capital Employed,0.138,0.1383,0.159,0.2192,0.2683,0.0161,0.012,0.0239,0.0251,0.0203,,AMP,Financials,769.0,AMP,-0.020612121213104052,0.4304891069219685,0.09023366112488178,756.0,699.0,250.45000000000002,795.0
53,857,AMT,Return on Capital Employed,0.0751,0.0555,0.0626,0.0658,0.0689,0.0724,0.06,0.0608,0.0497,0.0516,,AMT,Real Estate,626.5,AMT,-0.00166666666674383,0.3532466838485855,0.008054464600456073,553.0,40.0,166.03333333333333,538.0
54,873,AMZN,Return on Capital Employed,0.0051,0.065,0.1081,0.0633,0.1346,0.1132,0.1326,0.1436,-0.0116,0.1122,,AMZN,Consumer Discretionary,358.0,AMZN,0.0,0.07090046454054433,0.051758196452349456,387.5,488.0,131.24166666666667,359.0
55,889,AWK,Return on Capital Employed,0.068,0.0302,0.0277,0.0332,0.0229,0.0597,0.0609,0.0854,0.0577,0.0588,,AWK,Utilities,586.0,AWK,0.0031400000001481887,0.21233911419319218,0.019572289084315103,191.0,168.0,102.01666666666667,200.0
56,905,AXP,Return on Capital Employed,0.0739,0.107,0.0632,0.0534,0.0637,0.0663,0.0356,0.0679,0.0576,0.1477,,AXP,Financials,244.0,AXP,0.0,0.028511315940279336,0.030010733080016554,387.5,271.0,108.99166666666667,233.0
57,921,COLD,Return on Capital Employed,,0.047,0.0609,0.0564,0.0609,0.0361,0.015,0.0093,0.0111,-0.0266,,COLD,Real Estate,848.5,COLD,,,0.028180073513209232,,248.0,,
58,937,DOX,Return on Capital Employed,0.1244,0.1303,0.1218,0.126,0.1057,0.1395,0.1158,0.1604,0.1313,0.1285,,DOX,Information Technology,304.0,DOX,0.0,0.09201034835330801,0.013778973111230022,387.5,109.0,106.8916666666667,222.0
59,953,MO,Return on Capital Employed,0.3202,0.3493,0.5863,0.29,0.2904,0.0498,0.2119,0.162,0.3006,0.4432,,MO,Consumer Staples,19.0,MO,0.0,0.05208325818667148,0.13960990688343003,387.5,801.0,112.99166666666667,261.0
60,969,AAPL,Return on Capital Employed,0.3199,0.3492,0.2589,0.2419,0.3048,0.2977,0.3202,0.496,0.6139,0.5677,,AAPL,Information Technology,7.0,AAPL,0.03331151515309624,0.580844968285383,0.1255426365821588,33.0,783.0,45.9,9.0
61,985,ACGL,Return on Capital Employed,0.0443,0.0298,0.0297,0.0299,0.0339,0.0553,0.0411,0.0582,0.0377,0.1249,,ACGL,Financials,316.0,ACGL,0.005928484848760772,0.3903334824055026,0.02725541414104728,163.0,234.0,73.18333333333332,117.0
62,1001,ADI,Return on Capital Employed,0.1242,0.1407,0.1455,0.0552,0.0994,0.0862,0.0749,0.0305,0.0689,0.0849,,ADI,Information Technology,466.0,ADI,-0.008396363636757814,0.47045342259209844,0.03516089304895426,650.0,340.0,182.76666666666668,609.0
63,1017,AIRC,Return on Capital Employed,0.0905,0.073,0.0968,0.0826,0.1477,0.1033,0.0263,0.1048,0.1838,0.1326,,AIRC,Real Estate,288.0,AIRC,0.005946666666945907,0.1737916794642954,0.04097189768609699,161.0,395.0,78.06666666666666,129.0
64,1033,AM,Return on Capital Employed,,1.365,1.5707,2.1479,17.4089,-0.0575,-0.0057,0.0279,0.1114,0.1245,,AM,Energy,318.5,AM,,,5.321089919704443,,930.0,,
65,1049,AMAT,Return on Capital Employed,0.1491,0.1478,0.1979,0.2567,0.3596,0.2405,0.2462,0.3597,0.4046,0.3405,,AMAT,Information Technology,41.0,AMAT,0.02532484848604271,0.7006007357397162,0.08690375365886102,46.0,688.0,46.93333333333334,16.0
66,1065,AMBP,Return on Capital Employed,,,,,-0.0098,0.0507,0.088,-0.0178,0.0845,0.0292,,AMBP,Materials,735.5,AMBP,,,0.041428157359726034,,398.0,,
67,1081,ANET,Return on Capital Employed,0.1917,0.1613,0.1933,0.2473,0.1178,0.2403,0.1861,0.2013,0.2786,0.3014,,ANET,Information Technology,58.0,ANET,0.010832121212638574,0.352439922102031,0.05240804232176585,112.0,492.0,50.93333333333334,28.0
